City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,georgetown,5.4112,100.3354,25.96,87,40,2.24,MY,1728846058
83,rongelap,11.1635,166.8941,28.17,76,69,5.42,MH,1728846059
84,brookings,44.3114,-96.7984,12.47,51,40,9.77,US,1728846061
85,punta arenas,-53.15,-70.9167,13.06,50,75,10.29,CL,1728845876
86,kruisfontein,-34.0033,24.7314,16.34,90,100,6.28,ZA,1728846063
87,keflavik,64.0049,-22.5624,1.24,55,0,2.57,IS,1728846064
88,gadzhiyevo,69.2551,33.3362,3.93,65,100,8.47,RU,1728846065
89,erenhot,43.6475,111.9767,14.58,56,0,9.26,CN,1728846067
90,inyati,-19.6756,28.8469,24.1,25,4,6.39,ZW,1728846068
91,i-n-salah,27.1935,2.4607,34.74,12,0,2.64,DZ,1728846069
92,labrador city,52.9463,-66.9114,5.1,74,100,30.85,CA,1728846070
93,namibe,-15.1961,12.1522,20.97,86,100,2.97,AO,1728846071
94,avarua,-21.2078,-159.775,24.03,78,40,7.2,CK,1728846072
95,qaqortoq,60.7167,-46.0333,5.09,58,24,4.48,GL,1728846073
96,vilyuchinsk,52.9306,158.4028,5.15,96,100,3.88,RU,1728846074
97,roma,43.2128,-75.4557,7.08,97,100,3.09,US,1728845942
98,selfoss,63.9331,-20.9971,0.02,45,51,4.8,IS,1728846076
99,lihue,21.9789,-159.3672,25.97,87,40,4.24,US,1728846077
100,kourou,5.1552,-52.6478,30.57,55,14,4.83,GF,1728846078
101,blackmans bay,-43.0167,147.3167,6.52,83,55,0.45,AU,1728846080
102,mugia,43.1041,-9.2179,19.39,84,100,2.58,ES,1728846082
103,fale old settlement,-9.3852,-171.2468,27.89,77,67,5.81,TK,1728846084
104,rawai,7.7797,98.3253,27.66,75,100,1.53,TH,1728846086
105,iqaluit,63.7506,-68.5145,1.85,74,75,8.23,CA,1728846087
106,dakhla,23.6848,-15.958,23.01,88,30,4.63,EH,1728846088
107,mananjary,-21.2167,48.3333,20.14,76,71,1.39,MG,1728846090
108,tarakan,3.3,117.6333,27.63,75,68,2.09,ID,1728846092
109,wad rawah,15.1603,33.1397,33.96,28,78,1.38,SD,1728846094
110,fortuna,40.5982,-124.1573,20.52,83,0,3.6,US,1728846097
111,isafjordur,66.0755,-23.124,-0.98,69,0,1.03,IS,1728846099
112,kisangani,0.5167,25.2,23.1,86,25,0.82,CD,1728846100
113,hotan,37.0997,79.9269,18.49,17,21,1.7,CN,1728846102
114,lorengau,-2.0226,147.2712,27.78,75,75,4.04,PG,1728846077
115,ambalangoda,6.2355,80.0538,27.77,85,100,3.1,LK,1728846104
116,marquette,46.5333,-87.6335,7.24,94,100,0.89,US,1728846105
117,floro,61.5996,5.0328,5.98,81,75,8.23,NO,1728846106
118,kamina,-8.7386,24.9906,21.32,65,98,1.98,CD,1728846108
119,hamilton,39.1834,-84.5333,26.54,50,0,5.81,US,1728846110
120,soligalich,59.0778,42.2864,3.5,63,100,4.51,RU,1728846111
121,grajau,-5.8194,-46.1386,38.43,19,100,3.24,BR,1728846097
122,charters towers,-20.1,146.2667,17.9,92,100,3.74,AU,1728846113
123,kodiak,57.79,-152.4072,7.73,87,100,6.17,US,1728846055
124,whitehorse,60.7161,-135.0538,4.89,80,75,8.75,CA,1728846115
125,moroni,-11.7022,43.2551,25.75,83,5,0.97,KM,1728846117
126,bilibino,68.0546,166.4372,-10.82,87,100,0.75,RU,1728846118
127,zouerate,22.7187,-12.4521,31.16,31,56,2.32,MR,1728846120
128,lugoba,-6.45,38.3333,22.78,84,19,2.0,TZ,1728846121
129,stanley,54.868,-1.6985,5.85,80,0,1.03,GB,1728845898
130,olonkinbyen,70.9221,-8.7187,-1.49,91,100,8.56,SJ,1728846123
131,campos do jordao,-22.7394,-45.5914,22.47,43,71,2.99,BR,1728846124
132,boa viagem,-5.1275,-39.7322,32.48,35,11,4.39,BR,1728846125
133,maieru,47.4,24.75,9.57,78,100,1.35,RO,1728846126
134,sitka,57.0531,-135.33,10.62,76,100,2.68,US,1728846127
135,ormara,25.2088,64.6357,27.53,71,100,1.96,PK,1728846128
136,port saint john's,-31.6229,29.5448,20.15,92,18,1.35,ZA,1728846129
137,krasnoufimsk,56.6059,57.7669,0.08,55,23,0.45,RU,1728846130
138,alice springs,-23.7,133.8833,28.52,36,75,4.12,AU,1728846132
139,virginia,37.5481,-77.4467,27.18,50,20,6.69,US,1728846006
140,ilhabela,-23.7781,-45.3581,22.22,82,96,2.88,BR,1728846076
141,afaahiti,-17.75,-149.2833,22.84,77,26,6.84,PF,1728846135
142,pacific grove,36.6177,-121.9166,21.82,91,100,2.57,US,1728846136
143,haiku-pauwela,20.9219,-156.3051,26.81,70,9,11.62,US,1728846137
144,klyuchi,52.2667,79.1667,-4.48,69,8,2.19,RU,1728846138
145,gombi,10.1614,12.7399,22.06,87,100,0.77,NG,1728846140
146,udachny,66.4167,112.4,-21.35,100,84,2.35,RU,1728846092
147,hasaki,35.7333,140.8333,21.68,59,0,6.15,JP,1728846142
148,daru,-9.0763,143.2092,25.27,85,99,5.98,PG,1728846041
149,pingliang,35.5392,106.6861,12.78,79,0,1.79,CN,1728846144
150,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,81,100,5.0,RU,1728846145
151,rio grande,-32.035,-52.0986,19.08,73,45,8.49,BR,1728845945
152,esbjerg,55.4667,8.45,10.05,91,75,9.77,DK,1728846147
153,sandnessjoen,66.0217,12.6316,9.06,61,75,4.12,NO,1728846148
154,ilulissat,69.2167,-51.1,0.01,74,100,5.66,GL,1728846149
155,chabahar,25.2919,60.643,27.38,71,100,0.72,IR,1728846150
156,alofi,-19.0595,-169.9187,22.94,100,75,2.06,NU,1728846151
157,lompoc,34.6391,-120.4579,24.83,60,0,4.78,US,1728846153
158,hithadhoo,-0.6,73.0833,28.19,75,100,4.69,MV,1728846154
159,thompson,55.7435,-97.8558,1.09,69,75,3.09,CA,1728846155
160,cabo san lucas,22.8909,-109.9124,30.04,59,0,2.5,MX,1728846156
161,grande prairie,55.1667,-118.8027,11.1,54,75,0.0,CA,1728846008
162,flying fish cove,-10.4217,105.6791,25.82,94,100,4.12,CX,1728846158
163,kem',64.9555,34.5793,4.65,92,98,3.23,RU,1728846160
164,kenai,60.5544,-151.2583,6.19,86,99,6.87,US,1728846161
165,port mathurin,-19.6833,63.4167,22.4,73,27,10.27,MU,1728846162
166,katsuura,35.1333,140.3,19.97,70,0,6.37,JP,1728846163
167,znamenskoye,57.1281,73.8282,-2.07,70,90,2.08,RU,1728846165
168,cromwell,41.5951,-72.6454,17.58,67,45,2.98,US,1728846033
169,turpan,42.9333,89.1667,19.31,34,2,4.03,CN,1728846167
170,myrzakent,40.6667,68.5333,13.31,80,94,3.07,KZ,1728846168
171,shakawe,-18.3667,21.85,20.15,61,98,2.57,BW,1728846133
172,fuling,29.7022,107.3919,18.78,88,78,0.43,CN,1728845880
173,ribeira grande,38.5167,-28.7,24.22,88,40,5.66,PT,1728846173
174,ghanzi,-21.5667,21.7833,25.83,19,100,5.34,BW,1728846174
175,aykol,38.1751,77.2132,18.1,24,0,1.85,CN,1728846175
176,port lincoln,-34.7333,135.8667,14.86,89,0,6.44,AU,1728846176
177,villa emilio carranza,19.9667,-96.6,27.53,64,7,4.4,MX,1728846178
178,tazovsky,67.4667,78.7,1.11,87,38,11.19,RU,1728846179
179,college,64.8569,-147.8028,1.71,94,100,2.06,US,1728846180
180,saipan,15.1355,145.701,28.01,74,100,2.35,MP,1728846181
181,nuuk,64.1835,-51.7216,3.34,75,75,1.03,GL,1728846182
182,ostersund,63.1792,14.6357,5.9,89,75,2.06,SE,1728846030
183,st. john's,47.5649,-52.7093,10.71,84,75,12.35,CA,1728846178
184,condoto,5.0935,-76.6497,28.77,83,99,2.25,CO,1728846186
185,moose jaw,50.4001,-105.5344,9.14,43,100,2.57,CA,1728846187
186,kerikeri,-35.2268,173.9474,8.84,94,100,1.52,NZ,1728846188
187,pisco,-13.7,-76.2167,22.03,64,0,3.09,PE,1728846189
188,pitimbu,-7.4706,-34.8086,26.73,69,8,4.89,BR,1728846190
189,ugoofaaru,5.6667,73.0,27.48,82,100,6.73,MV,1728846191
